,Area,Outcome Month,Outcome type,Crime Month,Crime type
0,Adur,1,1,1,1
1,Ashford,1,1,1,1
2,Aylesbury Vale,1,1,1,1
3,Babergh,1,1,1,1
4,Barking and Dagenham,10401,10401,10401,10401
5,Barnet,14321,14321,14321,14321
6,Basildon,3,3,3,3
7,Bassetlaw,1,1,1,1
8,Bedford,2,2,2,2
9,Bexley,7837,7837,7837,7837
10,Birmingham,7,7,7,7
11,Blackpool,1,1,1,1
12,Bracknell Forest,4,4,4,4
13,Bradford,5,5,5,5
14,Braintree,1,1,1,1
15,Brent,15911,15911,15911,15911
16,Brentwood,4,4,4,4
17,Brighton and Hove,6,6,6,6
18,Bristol,2,2,2,2
19,Broadland,1,1,1,1
20,Bromley,12499,12499,12499,12499
21,Broxbourne,11,11,11,11
22,Cambridge,1,1,1,1
23,Camden,17274,17274,17274,17274
24,Canterbury,2,2,2,2
25,Central Bedfordshire,3,3,3,3
26,Chelmsford,3,3,3,3
27,Cheltenham,1,1,1,1
28,Cheshire East,2,2,2,2
29,Cheshire West and Chester,1,1,1,1
30,Chiltern,1,1,1,1
31,City of London,226,226,226,226
32,Colchester,1,1,1,1
33,Corby,1,1,1,1
34,Cornwall,2,2,2,2
35,Cotswold,2,2,2,2
36,County Durham,2,2,2,2
37,Coventry,1,1,1,1
38,Crawley,4,4,4,4
39,Croydon,17711,17711,17711,17711
40,Dacorum,2,2,2,2
41,Darlington,1,1,1,1
42,Dartford,13,13,13,13
43,Ealing,17265,17265,17265,17265
44,East Devon,1,1,1,1
45,East Dorset,1,1,1,1
46,East Hertfordshire,1,1,1,1
47,East Northamptonshire,1,1,1,1
48,Eastbourne,2,2,2,2
49,Elmbridge,26,26,26,26
50,Enfield,14058,14058,14058,14058
51,Epping Forest,32,32,32,32
52,Epsom and Ewell,24,24,24,24
53,Fareham,1,1,1,1
54,Fylde,1,1,1,1
55,Gravesham,8,8,8,8
56,Greenwich,14483,14483,14483,14483
57,Guildford,2,2,2,2
58,Hackney,16877,16877,16877,16877
59,Hammersmith and Fulham,12694,12694,12694,12694
60,Harborough,1,1,1,1
61,Haringey,16286,16286,16286,16286
62,Harlow,2,2,2,2
63,Harrow,7579,7579,7579,7579
64,Hastings,4,4,4,4
65,Havering,9961,9961,9961,9961
66,Herefordshire,2,2,2,2
67,Hertsmere,15,15,15,15
68,Hillingdon,15088,15088,15088,15088
69,Horsham,1,1,1,1
70,Hounslow,13524,13524,13524,13524
71,Huntingdonshire,2,2,2,2
72,Ipswich,3,3,3,3
73,Isle of Wight,2,2,2,2
74,Islington,16810,16810,16810,16810
75,Kensington and Chelsea,12332,12332,12332,12332
76,Kettering,1,1,1,1
77,Kingston upon Thames,6578,6578,6578,6578
78,Kirklees,3,3,3,3
79,Lambeth,20459,20459,20459,20459
80,Lancaster,1,1,1,1
81,Leeds,6,6,6,6
82,Leicester,3,3,3,3
83,Lewisham,15397,15397,15397,15397
84,Liverpool,4,4,4,4
85,Luton,5,5,5,5
86,Maldon,1,1,1,1
87,Malvern Hills,1,1,1,1
88,Manchester,1,1,1,1
89,Medway,8,8,8,8
90,Merton,7408,7408,7408,7408
91,Milton Keynes,3,3,3,3
92,Mole Valley,1,1,1,1
93,Neath Port Talbot,1,1,1,1
94,New Forest,2,2,2,2
95,Newcastle upon Tyne,4,4,4,4
96,Newham,17134,17134,17134,17134
97,North Hertfordshire,1,1,1,1
98,North Kesteven,1,1,1,1
99,North Tyneside,2,2,2,2
100,Northampton,1,1,1,1
101,Northumberland,2,2,2,2
102,Norwich,1,1,1,1
103,Nottingham,1,1,1,1
104,Pendle,1,1,1,1
105,Peterborough,2,2,2,2
106,Portsmouth,2,2,2,2
107,Preston,1,1,1,1
108,Reading,1,1,1,1
109,Redbridge,11871,11871,11871,11871
110,Reigate and Banstead,15,15,15,15
111,Richmond upon Thames,6235,6235,6235,6235
112,Richmondshire,1,1,1,1
113,Rochford,3,3,3,3
114,Rother,2,2,2,2
115,Rugby,1,1,1,1
116,Runnymede,2,2,2,2
117,Sevenoaks,9,9,9,9
118,Shepway,1,1,1,1
119,Shropshire,1,1,1,1
120,Slough,8,8,8,8
121,South Bucks,7,7,7,7
122,South Kesteven,1,1,1,1
123,South Norfolk,1,1,1,1
124,South Oxfordshire,1,1,1,1
125,Southampton,4,4,4,4
126,Southend-on-Sea,4,4,4,4
127,Southwark,18499,18499,18499,18499
128,Spelthorne,68,68,68,68
129,St Albans,6,6,6,6
130,St Edmundsbury,1,1,1,1
131,St. Helens,1,1,1,1
132,Stafford,1,1,1,1
133,Stevenage,2,2,2,2
134,Stratford-on-Avon,1,1,1,1
135,Suffolk Coastal,2,2,2,2
136,Surrey Heath,1,1,1,1
137,Sutton,6283,6283,6283,6283
138,Swansea,5,5,5,5
139,Swindon,1,1,1,1
140,Tamworth,1,1,1,1
141,Tandridge,14,14,14,14
142,Thanet,1,1,1,1
143,Three Rivers,12,12,12,12
144,Thurrock,18,18,18,18
145,Tonbridge and Malling,2,2,2,2
146,Torbay,2,2,2,2
147,Tower Hamlets,17460,17460,17460,17460
148,Uttlesford,6,6,6,6
149,Wakefield,2,2,2,2
150,Waltham Forest,12221,12221,12221,12221
151,Wandsworth,14205,14205,14205,14205
152,Warrington,1,1,1,1
153,Watford,4,4,4,4
154,Waveney,1,1,1,1
155,Waverley,3,3,3,3
156,Wealden,1,1,1,1
157,Welwyn Hatfield,7,7,7,7
158,West Berkshire,2,2,2,2
159,West Lancashire,2,2,2,2
160,Westminster,28748,28748,28748,28748
161,Weymouth and Portland,1,1,1,1
162,Wigan,1,1,1,1
163,Winchester,1,1,1,1
164,Windsor and Maidenhead,3,3,3,3
165,Wirral,1,1,1,1
166,Woking,2,2,2,2
167,Wokingham,2,2,2,2
168,Wolverhampton,2,2,2,2
169,Worthing,1,1,1,1
170,Wychavon,1,1,1,1
171,Wycombe,2,2,2,2
